id,group_id,text,label,split,provenance
C-10-4,C-10,Reading suggestion: Freezing most parameters. The study updates a small subset of a pretrained model's parameters during task-specific adaptation. The intended reader is a software developer.,Fine-tuning,train,authored_synthetic
A-23-4,A-23,Reading suggestion: Searching private project documents. A team uses authorized project files as a searchable source of context for a question-answering assistant. The intended reader is a software developer.,RAG,train,authored_synthetic
B-13-3,B-13,A developer learning note on structured tool arguments. The application validates the function name and arguments proposed by an assistant before execution.,Agents,train,authored_synthetic
B-14-4,B-14,Reading suggestion: A workflow with conditional branches. The orchestration code chooses a next stage based on the result of a model-driven step. The intended reader is a software developer.,Agents,train,authored_synthetic
C-10-1,C-10,Article: Freezing most parameters. Description: The study updates a small subset of a pretrained model's parameters during task-specific adaptation.,Fine-tuning,train,authored_synthetic
C-05-3,C-05,A developer learning note on quantized adapter training. The training recipe keeps a quantized base model frozen and learns low-rank task adapters.,Fine-tuning,train,authored_synthetic
B-23-0,B-23,"A research-and-write workflow. A model plans source lookups, invokes research tools, inspects findings, and decides when it has enough material.",Agents,train,authored_synthetic
B-04-2,B-04,"A model navigates a website through tools and pauses at consequential actions for user review. The article is titled ""A browser assistant with checkpoints"".",Agents,train,authored_synthetic
C-13-2,C-13,"The tutorial accumulates gradients across microbatches while training a task adapter. The article is titled ""Gradient accumulation on a small GPU"".",Fine-tuning,train,authored_synthetic
C-23-2,C-23,"A training job loads its adapter and optimizer checkpoint to continue updating the model on labelled examples. The article is titled ""Resuming a supervised training run"".",Fine-tuning,train,authored_synthetic
B-23-2,B-23,"A model plans source lookups, invokes research tools, inspects findings, and decides when it has enough material. The article is titled ""A research-and-write workflow"".",Agents,train,authored_synthetic
D-01-0,D-01,Recognizing spoken words. A speech recognition system converts recorded audio into text and is evaluated on transcription errors.,Other,train,authored_synthetic
A-07-3,A-07,A developer learning note on retrieving across linked entities. A question-answering system follows graph relationships to collect evidence before writing a response.,RAG,train,authored_synthetic
D-07-3,D-07,A developer learning note on designing a better prompt. The tutorial improves a single model prompt without training parameters or invoking external tools.,Other,train,authored_synthetic
